,A,B,C,D,E,F,G,H,I,J,K,L,M,N,o,P,Q,R,S,T,U,V,W,X,Y,Z
0,A.NET (A#/A sharp),B,C – ISO/IEC 9899,D,E,F,Game Maker Language,Hack,Io,J,K,LabVIEW,M Formula language,NASM,o:XML,P,Q (programming language from Kx Systems),R,S,T,Ubercode,Vala,"WATFIV, WATFOR (WATerloo FORtran IV)",X++ (X plus plus/Microsoft Dynamics AX),Yorick,Z notation
1,A-0 System,Babbage,C-- (C minus minus),Dart,Ease,F# (F sharp),GameMonkey Script,HAGGIS,Icon,J# (J sharp),Kaleidoscope,Ladder,M2001,Napier88,Oak,P4,Q# (Microsoft programming language),R++,S2,TACL,UCSD Pascal,Vim script,WebAssembly,X10,YQL,Z shell
2,A+ (A plus),Ballerina,C++ (C plus plus) – ISO/IEC 14882,Darwin,Easy PL/I,F*,GAMS (General Algebraic Modeling System),HAL/S,IBM Basic assembly language,J++ (J plus plus),Karel,LANSA,M4,Neko,Oberon,P′′,Qalb,Racket,S3,TACPOL,Umple,Viper (Ethereum/Ether (ETH)),WebDNA,xBase++ (xBase plus plus),Yoix,"Zebra, ZPL, ZPL2"
3,A++,Bash,C*,DataFlex,EASYTRIEVE PLUS,Factor,GAP,Halide (programming language),IBM HAScript,JADE,KEE,Lasso,M#,Nemerle,OBJ2,ParaSail,Quantum Computation Language,Raku,S-Lang,TADS (Text Adventure Development System),Unicon,Visual DataFlex,Whiley,XBL,null,Zeno
4,ABAP,BASIC,C# (C sharp) – ISO/IEC 23270,Datalog,eC,Fantom,G-code,Hamilton C shell,IBM Informix-4GL,Jai,Kixtart,Lava,Machine code,NESL,Object Lisp,PARI/GP,QtScript,RAPID,S-PLUS,TAL,Uniface,Visual DialogScript,Winbatch,XC (targets XMOS architecture),null,ZetaLisp
5,ABC,Batch file (Windows/MS-DOS),C/AL,DATATRIEVE,ECMAScript,FAUST,GDScript (Godot),Harbour,IBM RPG,JAL,Klerer-May System,LC-3,MAD (Michigan Algorithm Decoder),Net.Data,ObjectLOGO,Pascal – ISO 7185,QuakeC,Rapira,SA-C,Tcl,UNITY,Visual FoxPro,Wolfram Language,xHarbour,null,Zig
6,ABC ALGOL,bc (basic calculator),Caché ObjectScript,dBase,Edinburgh IMP,FFP,Genie,Hartmann pipelines,IDL,Janus (concurrent constraint programming language),KIF (Knowledge Interchange Format),Lean,MAD/I,NetLogo,Object REXX,Pascal Script,QPL,Ratfiv,SabreTalk,Tea,UnrealScript,Visual J++ (Visual J plus plus),Wyvern,XL,null,Zonnon
7,ACC,BCPL,C Shell (csh),dc,EGL,fish,GDL (Geometric Description Language),Haskell,Idris,Janus (time-reversible computing programming language),Kojo,Legoscript,Magik,NetRexx,Object Pascal,PCASTL,.QL,Ratfor,SAIL,TECO (Text Editor and Corrector),null,Visual LISP,null,Xojo,null,ZOPL
8,Accent (Rational Synergy),BeanShell,Caml,DCL (DIGITAL Command Language),Eiffel,Fjölnir,GEORGE,Haxe,Inform,JASS,Kotlin,LIL,Magma,NewLISP,Objective-C,PCF,null,rc,SAKO,TELCOMP,null,Visual Objects,null,XOTcl,null,ZPL
